,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
200,7.0,Yes,0.0,2.0,Yes,3.0,0.0,Introvert
201,8.0,Yes,2.0,1.0,Yes,3.0,2.0,Introvert
203,8.0,Yes,1.0,1.0,Yes,2.0,1.0,Introvert
204,7.0,Yes,0.0,0.0,Yes,2.0,1.0,Introvert
205,8.0,No,0.0,3.0,Yes,3.0,2.0,Introvert
208,8.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
211,7.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
212,9.0,Yes,0.0,1.0,Yes,2.0,1.0,Introvert
213,9.0,Yes,1.0,1.0,Yes,2.0,0.0,Introvert
215,7.0,Yes,1.0,2.0,Yes,3.0,1.0,Introvert
216,7.0,Yes,0.0,1.0,Yes,1.0,0.0,Introvert
218,7.0,Yes,0.0,0.0,Yes,1.0,2.0,Introvert
219,8.0,Yes,0.0,0.0,Yes,3.0,0.0,Introvert
224,9.0,Yes,0.0,2.0,Yes,2.0,2.0,Introvert
226,9.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
227,9.0,Yes,2.0,2.0,Yes,1.0,2.0,Introvert
230,8.0,Yes,2.0,2.0,No,1.0,0.0,Introvert
232,8.0,Yes,1.0,0.0,Yes,1.0,1.0,Introvert
233,7.0,Yes,1.0,1.0,Yes,3.0,3.564726631393298,Introvert
234,7.0,Yes,0.0,2.0,Yes,2.0,0.0,Introvert
236,7.0,Yes,0.0,0.0,Yes,3.0,2.0,Introvert
237,9.0,Yes,2.0,0.0,Yes,2.0,0.0,Introvert
239,9.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
243,8.0,Yes,0.0,0.0,Yes,3.0,1.0,Introvert
245,7.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
246,9.0,Yes,0.0,1.0,Yes,2.0,1.0,Introvert
248,9.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
250,7.0,Yes,0.0,0.0,Yes,3.0,1.0,Introvert
252,9.0,Yes,1.0,2.0,Yes,3.0,1.0,Introvert
254,7.0,Yes,0.0,0.0,Yes,3.0,2.0,Introvert
256,7.0,Yes,1.0,0.0,Yes,3.0,0.0,Introvert
257,7.0,Yes,1.0,1.0,Yes,3.0,1.0,Introvert
259,9.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
260,8.0,Yes,0.0,0.0,Yes,1.0,1.0,Introvert
261,8.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
262,7.0,Yes,2.0,2.0,Yes,2.0,2.0,Introvert
263,9.0,Yes,1.0,1.0,Yes,2.0,1.0,Introvert
264,8.0,Yes,2.0,1.0,Yes,3.0,2.0,Introvert
268,8.0,Yes,1.0,2.0,Yes,1.0,0.0,Introvert
269,8.0,Yes,0.0,1.0,Yes,1.0,3.564726631393298,Introvert
272,9.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
273,9.0,Yes,2.0,1.0,Yes,3.0,2.0,Introvert
278,7.0,Yes,0.0,0.0,Yes,6.268862911795962,1.0,Introvert
279,7.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
282,9.0,No,1.0,1.0,Yes,2.0,0.0,Introvert
283,7.0,Yes,1.0,1.0,Yes,3.0,1.0,Introvert
285,7.0,Yes,1.0,0.0,Yes,2.0,2.0,Introvert
287,9.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
288,7.0,Yes,1.0,2.0,Yes,2.0,0.0,Introvert
293,8.0,Yes,3.963354474982382,0.0,Yes,6.268862911795962,3.564726631393298,Introvert
294,7.0,Yes,1.0,2.0,Yes,1.0,1.0,Introvert
297,7.0,Yes,1.0,1.0,Yes,1.0,2.0,Introvert
298,7.0,Yes,0.0,1.0,Yes,2.0,0.0,Introvert
401,8.0,Yes,2.0,1.0,Yes,2.0,2.0,Introvert
403,9.0,Yes,0.0,1.0,Yes,3.0,1.0,Introvert
407,10.0,Yes,3.0,0.0,Yes,2.0,0.0,Introvert
412,7.0,Yes,0.0,2.0,Yes,2.0,1.0,Introvert
415,8.0,Yes,2.0,1.0,Yes,1.0,1.0,Extrovert
425,11.0,Yes,3.0,1.0,Yes,0.0,2.0,Introvert
426,10.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
432,8.0,Yes,2.0,2.0,Yes,4.0,2.0,Extrovert
443,11.0,Yes,3.0,0.0,Yes,3.0,0.0,Introvert
444,9.0,Yes,0.0,1.0,Yes,3.0,1.0,Introvert
445,10.0,Yes,1.0,2.0,Yes,0.0,0.0,Introvert
449,7.0,Yes,1.0,1.0,Yes,3.0,2.0,Introvert
451,9.0,Yes,3.0,0.0,Yes,3.0,1.0,Introvert
452,9.0,Yes,1.0,2.0,Yes,0.0,0.0,Introvert
458,10.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
459,10.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
467,11.0,Yes,1.0,1.0,Yes,1.0,3.564726631393298,Introvert
469,7.0,Yes,0.0,1.0,Yes,4.0,2.0,Introvert
473,11.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
475,7.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
477,7.0,Yes,1.0,0.0,Yes,5.0,0.0,Introvert
478,9.0,Yes,2.0,0.0,Yes,4.0,0.0,Introvert
481,11.0,Yes,2.0,1.0,Yes,0.0,1.0,Introvert
488,10.0,Yes,0.0,0.0,Yes,3.0,0.0,Introvert
489,11.0,Yes,3.0,1.0,Yes,5.0,2.0,Introvert
490,10.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
494,9.0,Yes,2.0,1.0,Yes,2.0,0.0,Introvert
497,10.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
500,8.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
503,9.0,Yes,3.0,0.0,Yes,4.0,0.0,Introvert
506,9.0,Yes,0.0,0.0,Yes,5.0,0.0,Introvert
507,10.0,Yes,0.0,1.0,Yes,5.0,1.0,Introvert
508,7.0,Yes,0.0,1.0,Yes,1.0,0.0,Introvert
513,7.0,Yes,3.0,2.0,Yes,1.0,0.0,Introvert
516,8.0,Yes,2.0,2.0,Yes,4.0,2.0,Introvert
521,10.0,Yes,3.0,1.0,Yes,4.0,1.0,Introvert
524,8.0,Yes,0.0,2.0,Yes,0.0,2.0,Introvert
525,11.0,Yes,3.0,1.0,Yes,0.0,2.0,Introvert
530,8.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
534,8.0,Yes,3.0,0.0,Yes,0.0,2.0,Introvert
535,8.0,Yes,0.0,1.0,Yes,1.0,2.0,Introvert
536,9.0,Yes,2.0,1.0,Yes,4.0,2.0,Introvert
539,9.0,Yes,2.0,1.0,Yes,4.0,1.0,Introvert
541,8.0,Yes,0.0,0.0,Yes,5.0,2.0,Introvert
542,11.0,Yes,3.0,0.0,Yes,0.0,1.0,Introvert
544,8.0,Yes,3.0,1.0,Yes,3.0,2.0,Introvert
548,11.0,Yes,0.0,2.0,Yes,0.0,2.0,Introvert
552,8.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
555,9.0,Yes,1.0,2.0,Yes,0.0,2.0,Introvert
556,7.0,Yes,1.0,1.0,Yes,3.0,0.0,Introvert
558,11.0,Yes,1.0,1.0,Yes,3.0,0.0,Extrovert
562,9.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
565,11.0,Yes,0.0,1.0,Yes,0.0,1.0,Introvert
566,11.0,Yes,2.0,0.0,Yes,2.0,0.0,Introvert
575,11.0,Yes,3.0,1.0,Yes,6.268862911795962,2.0,Introvert
576,11.0,Yes,2.0,1.0,Yes,1.0,1.0,Introvert
577,9.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
578,7.0,Yes,0.0,1.0,Yes,3.0,0.0,Introvert
579,9.0,Yes,1.0,2.0,Yes,0.0,0.0,Introvert
584,11.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
587,7.0,Yes,3.0,0.0,Yes,6.268862911795962,1.0,Introvert
588,8.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
591,11.0,Yes,3.0,0.0,Yes,2.0,2.0,Introvert
594,7.0,Yes,1.0,0.0,Yes,5.0,0.0,Introvert
603,10.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
604,10.0,Yes,3.0,3.0,Yes,1.0,1.0,Introvert
605,9.0,Yes,2.0,2.0,Yes,0.0,2.0,Introvert
606,8.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
607,10.0,Yes,1.0,1.0,Yes,5.0,0.0,Introvert
610,7.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
613,11.0,Yes,1.0,2.0,Yes,2.0,3.564726631393298,Introvert
618,7.0,Yes,3.0,2.0,Yes,5.0,1.0,Introvert
619,7.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
626,9.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
628,11.0,Yes,1.0,0.0,Yes,1.0,1.0,Introvert
630,8.0,Yes,0.0,0.0,Yes,0.0,2.0,Extrovert
631,10.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
635,11.0,Yes,2.0,0.0,Yes,4.0,1.0,Introvert
637,8.0,Yes,2.0,2.0,Yes,5.0,1.0,Introvert
640,9.0,Yes,0.0,2.0,Yes,0.0,0.0,Introvert
642,9.0,Yes,0.0,2.0,Yes,2.0,1.0,Introvert
644,11.0,Yes,3.0,2.0,Yes,4.0,0.0,Introvert
646,9.0,Yes,0.0,0.0,Yes,4.0,0.0,Introvert
649,9.0,Yes,0.0,2.0,Yes,3.0,0.0,Introvert
650,11.0,Yes,3.0,2.0,Yes,4.0,0.0,Introvert
652,10.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
657,7.0,Yes,3.0,0.0,Yes,4.0,2.0,Introvert
662,10.0,Yes,0.0,0.0,Yes,5.0,2.0,Introvert
669,11.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
671,7.0,Yes,1.0,0.0,Yes,0.0,2.0,Introvert
674,10.0,Yes,0.0,3.0,Yes,5.0,2.0,Introvert
676,8.0,Yes,0.0,0.0,Yes,4.0,1.0,Introvert
681,10.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
688,11.0,Yes,3.0,0.0,Yes,5.0,0.0,Introvert
689,9.0,Yes,2.0,2.0,Yes,1.0,2.0,Extrovert
693,8.0,Yes,3.0,2.0,Yes,1.0,2.0,Introvert
697,7.0,Yes,1.0,1.0,Yes,3.0,0.0,Introvert
706,7.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
711,9.0,Yes,2.0,0.0,Yes,2.0,0.0,Introvert
712,7.0,Yes,2.0,1.0,Yes,4.0,0.0,Introvert
724,7.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
726,10.0,Yes,3.0,1.0,Yes,2.0,2.0,Introvert
731,10.0,Yes,1.0,0.0,Yes,5.0,1.0,Introvert
736,9.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
738,10.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
739,9.0,Yes,0.0,0.0,Yes,1.0,0.0,Introvert
742,10.0,Yes,0.0,0.0,Yes,1.0,2.0,Introvert
744,9.0,Yes,0.0,0.0,Yes,5.0,0.0,Introvert
747,10.0,Yes,3.0,0.0,Yes,0.0,1.0,Introvert
753,11.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
755,7.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
758,11.0,Yes,1.0,0.0,Yes,4.0,1.0,Introvert
759,10.0,Yes,2.0,0.0,Yes,0.0,2.0,Introvert
763,7.0,Yes,1.0,0.0,Yes,1.0,2.0,Introvert
768,10.0,Yes,1.0,2.0,No,4.0,1.0,Introvert
778,10.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
781,11.0,Yes,0.0,1.0,Yes,2.0,0.0,Introvert
784,10.0,Yes,1.0,0.0,Yes,1.0,2.0,Introvert
785,7.0,Yes,3.0,2.0,Yes,5.0,0.0,Introvert
786,8.0,No,1.0,1.0,Yes,3.0,2.0,Introvert
787,11.0,Yes,0.0,1.0,Yes,0.0,1.0,Introvert
802,10.0,Yes,3.0,2.0,Yes,3.0,1.0,Extrovert
807,9.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
809,8.0,Yes,0.0,1.0,Yes,2.0,0.0,Introvert
813,9.0,Yes,2.0,0.0,Yes,0.0,0.0,Introvert
814,9.0,Yes,3.0,2.0,Yes,5.0,1.0,Introvert
815,7.0,Yes,3.0,0.0,Yes,1.0,1.0,Introvert
816,7.0,Yes,0.0,1.0,Yes,0.0,0.0,Extrovert
822,9.0,Yes,0.0,1.0,Yes,0.0,2.0,Introvert
824,7.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
825,10.0,Yes,2.0,1.0,Yes,1.0,1.0,Introvert
830,7.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert
831,11.0,Yes,2.0,1.0,Yes,5.0,1.0,Introvert
834,8.0,Yes,0.0,1.0,Yes,0.0,2.0,Introvert
835,7.0,Yes,0.0,1.0,Yes,4.0,2.0,Introvert
849,8.0,Yes,0.0,2.0,Yes,0.0,0.0,Introvert
852,8.0,Yes,3.0,2.0,Yes,3.0,0.0,Introvert
857,9.0,Yes,1.0,0.0,Yes,4.0,1.0,Introvert
859,8.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
861,7.0,Yes,0.0,1.0,Yes,2.0,2.0,Introvert
862,9.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
864,10.0,Yes,3.0,1.0,Yes,3.0,2.0,Introvert
865,11.0,Yes,1.0,0.0,Yes,3.0,1.0,Introvert
869,10.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
870,9.0,Yes,1.0,1.0,Yes,0.0,1.0,Introvert
871,11.0,Yes,2.0,0.0,Yes,3.0,2.0,Extrovert
872,11.0,Yes,0.0,1.0,Yes,3.0,0.0,Extrovert
874,11.0,Yes,0.0,0.0,Yes,1.0,1.0,Introvert
888,8.0,Yes,1.0,0.0,Yes,3.0,2.0,Extrovert
893,7.0,No,0.0,0.0,Yes,5.0,2.0,Introvert
896,7.0,Yes,1.0,1.0,Yes,1.0,0.0,Introvert
897,8.0,Yes,3.0,1.0,Yes,0.0,1.0,Introvert
899,10.0,Yes,0.0,2.0,Yes,0.0,1.0,Introvert
901,7.0,Yes,1.0,2.0,Yes,5.0,0.0,Introvert
902,7.0,Yes,3.0,0.0,Yes,1.0,2.0,Introvert
904,8.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
907,8.0,Yes,3.0,1.0,Yes,2.0,2.0,Introvert
911,8.0,Yes,3.963354474982382,1.0,Yes,4.0,2.0,Introvert
913,8.0,Yes,0.0,0.0,Yes,5.0,0.0,Introvert
918,11.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
921,8.0,Yes,0.0,1.0,Yes,3.0,0.0,Introvert
927,7.0,Yes,1.0,0.0,Yes,4.0,0.0,Introvert
928,10.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
929,9.0,No,0.0,2.0,Yes,3.0,0.0,Introvert
930,11.0,Yes,3.0,2.0,Yes,5.0,0.0,Introvert
936,8.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
939,9.0,Yes,2.0,1.0,Yes,3.0,1.0,Introvert
943,9.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
944,11.0,Yes,1.0,1.0,Yes,5.0,1.0,Introvert
949,7.0,Yes,2.0,1.0,Yes,0.0,3.564726631393298,Introvert
952,8.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
956,10.0,Yes,2.0,0.0,Yes,2.0,1.0,Introvert
960,9.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
961,7.0,Yes,3.0,2.0,Yes,0.0,0.0,Introvert
962,10.0,Yes,3.0,0.0,Yes,3.0,1.0,Introvert
963,10.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
966,8.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
971,8.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
974,7.0,Yes,3.0,1.0,Yes,2.0,0.0,Introvert
976,8.0,Yes,1.0,0.0,Yes,0.0,0.0,Introvert
977,11.0,Yes,0.0,0.0,Yes,0.0,0.0,Extrovert
980,7.0,Yes,2.0,2.0,Yes,1.0,2.0,Introvert
985,11.0,Yes,0.0,0.0,Yes,3.0,0.0,Introvert
986,11.0,Yes,1.0,2.0,Yes,5.0,2.0,Introvert
989,9.0,Yes,1.0,1.0,Yes,5.0,2.0,Introvert
994,10.0,Yes,1.0,1.0,Yes,4.0,2.0,Introvert
997,10.0,Yes,0.0,0.0,Yes,2.0,1.0,Introvert
998,7.0,Yes,1.0,0.0,Yes,1.0,1.0,Introvert
1000,11.0,Yes,2.0,1.0,Yes,0.0,0.0,Introvert
1008,7.0,Yes,2.0,1.0,Yes,2.0,2.0,Introvert
1009,11.0,Yes,3.0,0.0,Yes,5.0,2.0,Introvert
1011,10.0,Yes,1.0,2.0,Yes,4.0,1.0,Introvert
1013,10.0,Yes,3.0,1.0,Yes,1.0,0.0,Introvert
1014,7.0,Yes,0.0,2.0,Yes,0.0,2.0,Introvert
1015,11.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert
1020,8.0,Yes,0.0,2.0,Yes,2.0,2.0,Introvert
1021,10.0,Yes,1.0,2.0,Yes,4.0,1.0,Introvert
1022,7.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
1023,11.0,Yes,1.0,2.0,Yes,1.0,0.0,Introvert
1024,9.0,Yes,0.0,1.0,Yes,4.0,1.0,Introvert
1026,7.0,Yes,0.0,2.0,Yes,3.0,0.0,Introvert
1027,9.0,Yes,2.0,0.0,Yes,1.0,2.0,Introvert
1028,7.0,Yes,3.0,1.0,Yes,1.0,1.0,Introvert
1031,7.0,Yes,1.0,1.0,Yes,5.0,0.0,Introvert
1032,10.0,Yes,3.0,2.0,Yes,4.0,1.0,Introvert
1033,10.0,Yes,0.0,2.0,Yes,0.0,1.0,Introvert
1034,10.0,Yes,3.0,0.0,Yes,2.0,2.0,Introvert
1035,10.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
1036,8.0,Yes,0.0,0.0,Yes,5.0,2.0,Introvert
1038,10.0,Yes,0.0,1.0,Yes,4.0,0.0,Introvert
1039,7.0,Yes,0.0,1.0,Yes,1.0,2.0,Introvert
1043,8.0,Yes,3.0,0.0,Yes,3.0,0.0,Introvert
1045,9.0,Yes,1.0,1.0,Yes,1.0,2.0,Introvert
1048,7.0,Yes,3.0,0.0,Yes,3.0,0.0,Extrovert
1049,9.0,No,3.0,1.0,Yes,5.0,1.0,Introvert
1050,7.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
1051,11.0,Yes,1.0,1.0,Yes,1.0,0.0,Introvert
1053,7.0,Yes,3.0,2.0,Yes,3.0,1.0,Introvert
1056,10.0,No,1.0,2.0,Yes,3.0,2.0,Introvert
1059,8.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
1061,8.0,Yes,3.0,0.0,Yes,4.0,0.0,Introvert
1067,9.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
1068,8.0,Yes,1.0,1.0,Yes,0.0,1.0,Introvert
1070,9.0,Yes,3.0,2.0,Yes,5.0,2.0,Introvert
1073,7.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
1078,10.0,Yes,3.0,2.0,Yes,0.0,2.0,Introvert
1081,7.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert
1084,10.0,Yes,3.0,2.0,Yes,4.0,2.0,Introvert
1087,11.0,Yes,3.0,2.0,Yes,4.0,1.0,Introvert
1088,9.0,Yes,1.0,1.0,Yes,2.0,0.0,Introvert
1091,9.0,Yes,0.0,1.0,Yes,3.0,1.0,Introvert
1098,7.0,Yes,3.0,0.0,Yes,4.0,1.0,Introvert
1099,9.0,Yes,2.0,1.0,Yes,1.0,0.0,Introvert
1103,11.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
1104,7.0,Yes,2.0,1.0,Yes,2.0,2.0,Introvert
1108,10.0,Yes,3.0,2.0,Yes,2.0,1.0,Introvert
1115,9.0,Yes,3.0,0.0,Yes,5.0,2.0,Introvert
1117,7.0,Yes,0.0,0.0,Yes,5.0,1.0,Introvert
1118,9.0,Yes,2.0,1.0,Yes,0.0,2.0,Introvert
1119,9.0,Yes,2.0,2.0,Yes,1.0,2.0,Introvert
1128,9.0,Yes,1.0,0.0,Yes,4.0,1.0,Introvert
1130,11.0,Yes,1.0,1.0,Yes,4.0,2.0,Introvert
1138,7.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
1139,7.0,Yes,0.0,2.0,Yes,5.0,1.0,Introvert
1148,7.0,Yes,3.0,0.0,Yes,1.0,2.0,Introvert
1149,8.0,Yes,3.963354474982382,0.0,Yes,5.0,1.0,Introvert
1152,11.0,Yes,0.0,2.0,Yes,2.0,2.0,Introvert
1153,10.0,Yes,0.0,2.0,Yes,4.0,2.0,Introvert
1156,8.0,Yes,0.0,0.0,Yes,0.0,0.0,Introvert
1159,10.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
1166,9.0,Yes,0.0,0.0,Yes,3.0,2.0,Introvert
1168,8.0,Yes,1.0,2.0,Yes,5.0,1.0,Introvert
1171,9.0,Yes,0.0,2.0,Yes,0.0,2.0,Introvert
1172,11.0,Yes,0.0,1.0,Yes,3.0,0.0,Extrovert
1175,9.0,Yes,3.0,1.0,Yes,2.0,2.0,Introvert
1178,7.0,Yes,3.0,0.0,Yes,1.0,0.0,Introvert
1179,10.0,Yes,3.0,0.0,Yes,0.0,0.0,Introvert
1183,11.0,Yes,1.0,1.0,Yes,0.0,2.0,Introvert
1184,7.0,Yes,3.963354474982382,0.0,Yes,1.0,0.0,Introvert
1187,9.0,Yes,2.0,0.0,Yes,4.0,1.0,Introvert
1189,7.0,Yes,0.0,2.0,Yes,5.0,1.0,Extrovert
1191,8.0,Yes,3.0,1.0,Yes,3.0,0.0,Introvert
1198,7.0,Yes,2.0,0.0,Yes,0.0,2.0,Introvert
1200,11.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
1201,8.0,Yes,3.0,0.0,Yes,0.0,0.0,Introvert
1204,9.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
1206,7.0,Yes,1.0,0.0,Yes,2.0,2.0,Introvert
1209,10.0,Yes,2.0,2.0,Yes,0.0,2.0,Introvert
1212,8.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
1215,10.0,Yes,1.0,0.0,Yes,1.0,1.0,Introvert
1221,7.0,Yes,0.0,3.0,Yes,0.0,2.0,Introvert
1226,10.0,Yes,1.0,2.0,Yes,2.0,2.0,Introvert
1227,9.0,Yes,3.0,0.0,Yes,4.0,1.0,Introvert
1232,10.0,Yes,2.0,2.0,Yes,5.0,1.0,Introvert
1233,10.0,Yes,2.0,1.0,Yes,4.0,2.0,Introvert
1235,8.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
1240,11.0,Yes,2.0,1.0,Yes,5.0,2.0,Introvert
1246,11.0,Yes,0.0,1.0,Yes,4.0,0.0,Introvert
1247,11.0,Yes,0.0,2.0,Yes,0.0,0.0,Introvert
1257,7.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
1261,8.0,Yes,1.0,0.0,Yes,4.0,2.0,Introvert
1264,10.0,Yes,0.0,0.0,Yes,6.268862911795962,0.0,Introvert
1266,9.0,Yes,3.0,0.0,Yes,3.0,1.0,Introvert
1267,9.0,Yes,0.0,0.0,Yes,3.0,2.0,Introvert
1272,9.0,Yes,1.0,2.0,Yes,0.0,2.0,Extrovert
